City;ta_2m;lon;lat;elev
Banská Bystrica, Slovakia;4.7;19.158580780029297;48.73838806152344;347.0
Banská Štiavnica, Slovakia;2.8;18.898841857910156;48.45809173583984;570.0
Bardejov, Slovakia;7.1;21.27560234069824;49.292686462402344;283.0
Beluša, Slovakia;4.4;18.32796859741211;49.06553268432617;256.0
Boľkovce, Slovakia;7.1;19.769983291625977;48.33710479736328;189.0
Bratislava - Mlynská Dolina, Slovakia;5.1;17.07178497314453;48.157203674316406;175.0
Bratislava Ivanka, Slovakia;6.8;17.229198455810547;48.1895637512207;128.0
Bratislava Koliba, Slovakia;5.1;17.10456657409668;48.16970443725586;283.0
Brezno, Slovakia;5.0;19.640960693359375;48.80533599853515;493.0
Bzovík, Slovakia;5.0;19.090412139892575;48.320316314697266;334.0
Chopok, Slovakia;-3.8;19.592716217041016;48.94300842285156;1997.0
Čadca, Slovakia;2.3;18.78960418701172;49.43751525878906;417.0
Čaklov, Slovakia;8.8;21.62806701660156;48.90740203857422;138.0
Červený Kláštor, Slovakia;4.7;20.41716194152832;49.398902893066406;458.0
Dolné Plachtince, Slovakia;6.9;19.310155868530273;48.20196533203125;192.0
Donovaly, Slovakia;0.1;19.228139877319336;48.87898635864258;974.0
Dudince, Slovakia;5.8;18.88231658935547;48.169189453125;136.0
Gabčíkovo, Slovakia;6.1;17.578125;47.89510726928711;113.0
Gánovce, Slovakia;3.8;20.32524299621582;49.02972412109375;635.0
Holíč, Slovakia;4.8;17.16214370727539;48.807891845703125;168.0
Hurbanovo, Slovakia;6.4;18.198312759399418;47.876121520996094;114.0
Jakubovany, Slovakia;6.2;21.14254570007324;49.10712814331055;401.0
Jaslovské Bohunice, Slovakia;4.7;17.647367477416992;48.4769287109375;163.0
Kamanová, Slovakia;5.4;18.092134475708008;48.47386169433594;163.0
Kamenica nad Cirochou, Slovakia;8.8;21.995784759521484;48.93157958984375;180.0
Kojšovská hoľa, Slovakia;0.3;20.98791885375977;48.78218078613281;1235.0
Košice, Slovakia;8.0;21.249677658081055;48.717227935791016;211.0
Košice - Podhradová, Slovakia;7.5;21.23938751220703;48.75234603881836;309.0
Kráľova pri Senci, Slovakia;6.0;17.451515197753906;48.19669342041016;122.0
Kremnické Bane, Slovakia;0.6;18.903966903686523;48.74102020263672;774.0
Kuchyňa, Slovakia;4.9;17.159849166870117;48.40752029418945;259.0
Liesek, Slovakia;1.6;19.66792106628418;49.36101913452149;645.0
Liptovská Osada, Slovakia;2.5;19.261560440063477;48.95170211791992;602.0
Liptovský Hrádok, Slovakia;3.7;19.72173309326172;49.03717803955078;637.0
Liptovský Mikuláš, Slovakia;4.0;19.61278533935547;49.08358001708984;579.0
Lom nad Rimavicou, Slovakia;0.5;19.64658546447754;48.642356872558594;1005.0
Lomnický štít, Slovakia;-5.2;20.21303367614746;49.19514465332031;2550.0
Malý Javorník, Slovakia;2.7;17.16364288330078;48.30329132080078;601.0
Martin - Žabokreky, Slovakia;3.0;18.90999984741211;49.01599884033203;463.0
Málinec, Slovakia;6.5;19.680810928344727;48.497310638427734;282.0
Medzilaborce - Borov, Slovakia;6.7;21.90396499633789;49.27113342285156;324.0
Michalovce, Slovakia;9.4;21.92119407653809;48.75143814086914;113.0
Mochovce, Slovakia;4.3;18.46003532409668;48.2608757019043;241.0
Modra - Piesok, Slovakia;3.0;17.277545928955078;48.38123321533203;443.0
Moldava nad Bodvou, Slovakia;8.5;20.997331619262695;48.61414337158203;208.0
Moravský Svätý Ján, Slovakia;5.0;17.001441955566406;48.590293884277344;158.0
Mužla, Slovakia;5.4;18.5977840423584;47.792518615722656;110.0
Myjava, Slovakia;3.4;17.576513290405273;48.75408172607422;357.0
Nitra, Slovakia;5.6;18.089458465576172;48.312950134277344;142.0
Oravská Lesná, Slovakia;0.3;19.18529510498047;49.36899948120117;785.0
Oravské Veselé, Slovakia;0.9;19.38333320617676;49.46666717529297;729.0
Oravský Podzámok, Slovakia;3.5;19.35705184936523;49.2610969543457;514.0
Orechová, Slovakia;10.6;22.226268768310547;48.704402923583984;122.0
Osadné, Slovakia;7.1;22.151092529296875;49.1401252746582;376.0
Piešťany, Slovakia;5.0;17.82138442993164;48.58952331542969;158.0
Plaveč, Slovakia;5.8;20.844764709472656;49.262020111083984;483.0
Podbanské, Slovakia;0.4;19.901920318603516;49.14350891113281;938.0
Podolínec, Slovakia;4.2;20.533790588378903;49.25711441040039;684.0
Poprad, Slovakia;3.7;20.29763984680176;49.05415344238281;256.0
Prešov, Slovakia;7.3;21.239212036132812;49.00000762939453;273.0
Prievidza, Slovakia;4.7;18.623491287231445;48.77183532714844;646.0
Rabča, Slovakia;1.5;19.483333587646484;49.48333358764648;301.0
Ratková, Slovakia;6.7;20.095657348632812;48.59085464477539;322.0
Revúca, Slovakia;5.7;20.11666679382324;48.68333435058594;210.0
Rimavská Sobota, Slovakia;7.6;20.01805877685547;48.38336181640625;373.0
Roztoky, Slovakia;6.0;21.49321556091309;49.39063262939453;309.0
